panel,P,parameter,x_median,relative_median,relative_p05,relative_p95,absolute_bits_median,absolute_bits_p95,ratio_median,alignment_high_median,alignment_low_median,frequency_correlation_mean
A,0.9,9.689042348462637,0.8801845776421962,7.377288306060251,-0.7151512400607762,12.6111442415634,0.14235998282075069,0.24335802033169335,1.0737728830606026,15.343376058026445,-15.66924818612404,0.0016968890740906143
A,0.9,12.450890633822237,0.9055712783993086,7.550855707132055,-0.03838719464297631,13.033753837356722,0.14570932355541144,0.25151314350176107,1.0755085570713205,15.457791945277691,-15.149664850732881,-0.00346239105079812
A,0.9,16.0,0.9207937948906877,8.160347968665649,-0.07708256656737353,13.160619906705824,0.15747073293533576,0.2539612857870827,1.0816034796866565,15.530613054259852,-14.761232485399347,0.0006076815823196696
B,0.25,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,
B,0.25,1000.0,0.000125996046491883,0.0889703514425192,0.04459409679674316,0.13700986020402312,0.00023969765230372198,0.00036912231210621814,1.0008897035144253,,,
B,0.25,606.1898993497572,0.00020772361698179198,0.14394902850778934,0.08503560208394502,0.19892822038954625,0.00038781733043968813,0.0005359383955579606,1.0014394902850778,,,
B,0.25,367.4661940736688,0.00034250361055704337,0.23901785958502408,0.1588955301533124,0.30768371807439837,0.0006439450768968291,0.0008289397948726962,1.0023901785958502,,,
B,0.25,222.75429519995564,0.0005648834773723799,0.3915146253770601,0.29551435932927317,0.4883297421034401,0.0010547911188828196,0.0013156235850984549,1.0039151462537705,,,
B,0.25,135.03140378698737,0.000929309000011258,0.6497916973074066,0.5151421673329094,0.7702795163581131,0.0017506230087408758,0.0020752328016594625,1.006497916973074,,,
B,0.25,81.8546730706903,0.0015355408834000217,1.0418580274258253,0.8725500583184632,1.2330303688514288,0.0028069004916665974,0.003321943544573136,1.0104185802742582,,,
B,0.25,49.61947603002903,0.002530478084374177,1.7529476694898958,1.5190299429554706,1.9797357050344273,0.004722668104323174,0.005333664450962513,1.0175294766948988,,,
B,0.25,30.078825180431004,0.004154046737528838,2.8641009317264,2.551028935506075,3.1922694926655244,0.007716258935306752,0.008600387550532235,1.028641009317264,,,
B,0.25,18.233480008684413,0.006821531896045174,4.7148906473618215,4.29098329768571,5.170800233570997,0.012702526186732621,0.013930805672036252,1.0471489064736181,,,
B,0.25,11.052951411260215,0.011202954528611309,7.763342769981355,7.0855616245789586,8.3592210291787,0.02091545111177673,0.022520824334121593,1.0776334276998134,,,
B,0.25,6.70018750350959,0.018306528434123448,12.667491034272317,11.723866807138952,13.635871816029935,0.034127861835582585,0.036736805108930314,1.1266749103427232,,,
B,0.25,4.061585988376979,0.029670798278995603,20.391263578420144,19.122726956427957,21.99790462138529,0.05493670563290409,0.05926520473231873,1.2039126357842016,,,
B,0.25,2.4620924014946257,0.047704363985758946,32.85375312114981,30.763867721414048,35.00222754557373,0.08851226689369032,0.09430053531366751,1.328537531211498,,,
B,0.25,1.4924955450518291,0.07508984682140923,51.7737384443339,48.58664870159757,54.920283176209836,0.13948515831267125,0.14796235743429756,1.517737384443339,,,
B,0.25,0.9047357242349302,0.11504261869421328,79.13816353954087,74.86937252246562,83.56870343438858,0.2132084643985176,0.22514491282222748,1.7913816353954086,,,
B,0.25,0.5484416576121021,0.1705936358582552,116.70247382286959,110.8344150201491,123.27934681413532,0.3144115825084836,0.332130530337128,2.1670247382286956,,,
B,0.25,0.3324597932270942,0.2408290429607427,164.095259118755,155.27177725151586,173.40179492333758,0.44209388551587775,0.4671668985732691,2.64095259118755,,,
B,0.25,0.20153376859417332,0.3248296486805355,219.56351595591437,209.19027934816336,231.4639867089994,0.5915325549791184,0.623593964814804,3.195635159559144,,,
B,0.25,0.12216773489967918,0.4187718624476357,281.82303700281926,267.7647314395868,293.8747899980779,0.759267769986545,0.791736753780255,3.8182303700281923,,,
B,0.25,0.07405684692262442,0.5156646838157717,342.1732331058083,325.7949225203276,357.95744247228316,0.9218590162547087,0.9643837210273855,4.421732331058083,,,
B,0.25,0.04489251258218608,0.6137302079078293,401.20144252615177,382.83312675068885,420.84190891031244,1.0808886591452385,1.1338026198760223,5.012014425261517,,,
B,0.25,0.027213387683753087,0.7040083190754308,454.7208496288713,434.0969388219816,474.0910677093364,1.2250768749633707,1.2772627517551272,5.547208496288713,,,
B,0.25,0.016496480740980205,0.7848966137682227,499.50991390724937,478.12478567753243,521.9639268451222,1.3457444162548513,1.4062384358775877,5.995099139072494,,,
B,0.25,0.01,0.8498374949793154,533.9621353837083,512.0303055042173,554.9582874258106,1.4385631639686933,1.4951295174820363,6.3396213538370825,,,
